LINK DRIVE	NOME DO PROJETO	CLIENTE	SERVIÇO	TÍTULO YOUTUBE	Column 11	LINK YOUTUBE	PALAVRAS CHAVE	LINK PIXIESET	LINK THUMBNAIL	LINK VIDEO PREVIEW (5S)
260226_EurovilleBMW_PacoteMensalFev26_Captação2_Reel_BMWM3Competition_VinhetaEuroville_ReversoFilmes_T_vFinal.mp4	BMW M3 COMPETITION	EUROVILLE BMW	PUBLICITÁRIO, FOTOS	Bmw M3 Competition | Euroville Bmw – Reverso Filmes	Vídeo publicitário produzido para Euroville Bmw, em fevereiro de 2026.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtube.com/shorts/1K_DKuMwTiQ	CARRO, BMW, 			
260226_EurovilleBMW_PacoteMensalFev26_Captação2_Reel_BBMWM135xDrive_VinhetaEuroville_ReversoFilmes_T_vFinal.mp4	BMW M135 XDRIVE	EUROVILLE BMW	PUBLICITÁRIO, FOTOS	Bmw M135 Xdrive | Euroville Bmw – Reverso Filmes	Vídeo publicitário produzido para Euroville Bmw, em fevereiro de 2026.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtube.com/shorts/56RjlqQcdME		https://reversofilmes.pixieset.com/eurovillebmwlancamentobmwm135/		
260217_RedBull_BlocoFunkYou_ReversoFilmes_T.mp4	AÇÃO CARNAVAL 2026 - BLOCO FUNK YOU	RED BULL	FESTIVAIS E EVENTOS	Ação Carnaval 2026 - Bloco Funk You | Red Bull – Reverso Filmes	Vídeo aftermovie produzido para Red Bull, em fevereiro de 2026.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtube.com/shorts/u_b2RMhfXZg				
260217_JuventudeBronzeada_Carnaval2026_Aftermovie_ReversoFilmes_vFinal_T.mp4	CARNAVAL 2026	JUVENTUDE BRONZEADA	FESTIVAIS & EVENTOS, FOTOS	Carnaval 2026 | Juventude Bronzeada – Reverso Filmes	Vídeo aftermovie produzido para Juventude Bronzeada, em fevereiro de 2026.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtube.com/shorts/cf88PD988oE		https://reversofilmes.pixieset.com/juventudebronzeadacarnaval2026/		
260216_BlocoSwingSafado_Carnaval2026_Aftermovie_ReversoFilmes_vFinal_T.mp4	CARNAVAL 2026	BLOCO SWING SAFADO	FESTIVAIS & EVENTOS	Carnaval 2026 | Bloco Swing Safado – Reverso Filmes	Vídeo aftermovie produzido para Bloco Swing Safado, em fevereiro de 2026.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtube.com/shorts/o4ic9etYQxQ				
260215_Sympla_Carnaval2026_CarnavalDosSonhos_AftermovieMobile_ReversoFilmes.MP4	CARNAVAL DOS SONHOS 2026	SYMPLA	FESTIVAIS & EVENTOS, MOBILE	Carnaval Dos Sonhos 2026 | Sympla – Reverso Filmes	Vídeo aftermovie mobile produzido para Sympla, em fevereiro de 2026.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtube.com/shorts/A0xBpzN-YMM				
260215_Sympla_Carnaval2026_BlocoDaEsquina_AftermovieMobile_ReversoFilmes_T.mp4	BLOCO DA ESQUINA - CARNAVAL 2026	SYMPLA	FESTIVAIS & EVENTOS, MOBILE	Bloco Da Esquina - Carnaval 2026 | Sympla – Reverso Filmes	Vídeo aftermovie mobile produzido para Sympla, em fevereiro de 2026.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtube.com/shorts/0BO50XRgNLQ				
260215_ÔSorte_Carnaval2026_Aftermovie_ReversoFilmes_v2_T.mp4	CARNAVAL 2026	Ô SORTE	FESTIVAIS & EVENTOS	Carnaval 2026 | Ô Sorte – Reverso Filmes	Vídeo aftermovie produzido para Ô Sorte, em fevereiro de 2026.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtube.com/shorts/p4MADv51v5Y				
260214_Sympla_Carnaval2026_BlocoAsaDeBanana_AftermovieMobile_ReversoFilmes_T.mp4	BLOCO ASA DE BANANA - CARANVAL 2026	SYMPLA	FESTIVAIS & EVENTOS, MOBILE	Bloco Asa De Banana - Caranval 2026 | Sympla – Reverso Filmes	Vídeo aftermovie mobile produzido para Sympla, em fevereiro de 2026.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtube.com/shorts/9Tt6UFJZeCk				
260214_HeavyLove_AftermovieMobile_ReversoFilmes_v3_T.mp4	BAILE DE CARNAVAL	HEAVY LOVE	FESTIVAIS & EVENTOS, MOBILE, FOTOS	Baile De Carnaval | Heavy Love – Reverso Filmes	Vídeo aftermovie mobile produzido para Heavy Love, em fevereiro de 2026.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtube.com/shorts/zh2KzQpRYdQ		https://reversofilmes.pixieset.com/heavylovebhbaileheavylove/		
260213_Sympla_Carnaval2026_BlocoFúnebre_AftermovieMobile_ReversoFilmes_T.mp4	BLOCO FÚNEBRE - CARNAVAL 2026	SYMPLA	FESTIVAIS & EVENTOS, MOBILE	Bloco Fúnebre - Carnaval 2026 | Sympla – Reverso Filmes	Vídeo aftermovie mobile produzido para Sympla, em fevereiro de 2026.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtube.com/shorts/JRpS5Iyg1fE				
260212_BHMaisFeliz_EsquentaDeCarnaval_AftemovieMobile_ReversoFilmes_v2_T.mp4	ESQUENTA DE CARNAVAL 2026	BH MAIS FELIZ	FESTIVAIS & EVENTOS, MOBILE	Esquenta De Carnaval 2026 | BH Mais Feliz – Reverso Filmes	Vídeo aftermovie mobile produzido para BH Mais Feliz, em fevereiro de 2026.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtube.com/shorts/--K7G9jN-L4				
260210_EurovilleBMW_PacoteMensalFev26_Captação1_Reels_BMWM2_VinhetaEuroville_ReversoFilmes_T.mp4	BMW M2 COUPÉ	EUROVILLE BMW	PUBLICITÁRIO	Bmw M2 Coupé | Euroville Bmw – Reverso Filmes	Vídeo publicitário produzido para Euroville Bmw, em fevereiro de 2026.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtube.com/shorts/DTmE496lq2A?feature=share				
260208_Amandona_BlocoDaAmandona_ReversoFilmes	BLOCO DA AMANDONA 2026	AMANDONA	FESTIVAIS & EVENTOS, FOTOS	Bloco Da Amandona 2026 | Amandona – Reverso Filmes				https://reversofilmes.pixieset.com/amandonablocodaamandona2026/		
260208_CarnaKVSH_Reels_Aftermovie_ReversoFilmes_T.mp4	CARNAKVSH 2026	KVSH	FESTIVAIS & EVENTOS	CarnaKVSH 2026 | Kvsh – Reverso Filmes	Vídeo aftermovie produzido para Kvsh, em fevereiro de 2026.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtube.com/shorts/P_QoVigOi6E				
260207_NaSala_NaSalaDeVerão_AperonaEdition_Aftermovie_ReversoFilmes_T.mp4	NASALA DE VERÃO 2026 - APERONA EDITION	NASALA	FESTIVAIS & EVENTOS	Nasala De Verão 2026 - Aperona Edition | Nasala – Reverso Filmes	Vídeo aftermovie produzido para Nasala, em fevereiro de 2026.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtube.com/shorts/nWLbgB4TRA0				
260207_NaCidade_Dominguinho_Aftermovie_Reversolfilmes_V1_T.mp4	DOMINGUINHO	NACIDADE	FESTIVAIS & EVENTOS	Dominguinho | Nacidade – Reverso Filmes	Vídeo aftermovie produzido para Nacidade, em fevereiro de 2026.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtube.com/shorts/pu8fbK7b638				
260206_AMD_DemoliçãoRajaTop_ReversoFilmes_T_vFinal.mp4	DEMOLIÇÃO RAJA TOP	AMD	INSTITUCIONAL, FOTOS	Demolição Raja Top | AMD – Reverso Filmes	Vídeo aftermovie produzido para Amd, em fevereiro de 2026.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtube.com/shorts/hgTjp7BCrqs?feature=share		https://reversofilmes.pixieset.com/amddemolicaorajatop/		
260204_Datamed_ConvençãoDeVendas2026_Aftermovie_ReversoFilmes_V2_T.mp4	CONVENÇÃO DE VENDAS 2026	DATAMED	CORPORATIVO, MOBILE	Convenção De Vendas 2026 | Datamed – Reverso Filmes	Vídeo aftermovie mobile produzido para Datamed, em fevereiro de 2026.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtube.com/shorts/Ivhq4zEClHs				
260202_Circocan_WorkshopGroupAcro_ReversoFilmes	WORKSHOP GROUP ACRO	CIRCOCAN	ARTE & CULTURA, FOTOS	Workshop Group Acro | Circocan – Reverso Filmes				https://reversofilmes.pixieset.com/circocanworkshopgroupacro/		
260202_Circocan_ResidênciaArtísticaFev26_ReversoFilmes	RESIDÊNCIA ARTÍSTICA	CIRCOCAN	ARTE & CULTURA, FOTOS	Residência Artística | Circocan – Reverso Filmes				https://reversofilmes.pixieset.com/circocanimersaoartistica/		
260201_Sarará_TrioSarará_ReelsGuaraná_ReversoFilmes_v6_T.mp4	GUARANÁ ANTÁRTICA - TRIO SARARÁ	A MACACO	FESTIVAIS & EVENTOS	Guaraná Antártica - Trio Sarará | A Macaco – Reverso Filmes	Vídeo aftermovie produzido para A Macaco, em fevereiro de 2026.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtube.com/shorts/XgNG3LhQHDQ				
260201_Sarará_TrioSarará_Aftermovie_ReversoFilmes_T.mp4	TRIO SARARÁ	A MACACO	FESTIVAIS & EVENTOS	Trio Sarará | A Macaco – Reverso Filmes	Vídeo aftermovie produzido para A Macaco, em fevereiro de 2026.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtube.com/shorts/31gpgkS98ZU				
260131_NaSala_NaSalaDeVerão_FitzGeraldEdition_Aftermovie_ReversoFilmes_v2_T.mp4	NASALA DE VERÃO 2026 - FITZGERALD EDITION	NASALA	FESTIVAIS & EVENTOS	NaSala De Verão 2026 - Fitzgerald Edition | NaSala – Reverso Filmes	Vídeo aftermovie produzido para NaSala, em janeiro de 2026.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtube.com/shorts/NxmMKmBXwp0				
260131_Marlene&Marciele_ReversoFilmes	ANIVERSÁRIO MARCIELE & MARLENE	MARCIELE	FESTIVAIS & EVENTOS, FOTOS	Aniversário Marciele & Marlene | Marciele – Reverso Filmes				https://reversofilmes.pixieset.com/marleneemarciele/		
260129_Brava_FotosRedesSociais_ReversoFilmes	AULAS DE CIRCO	BRAVA ESCOLA DE CIRCO	ARTE & CULTURA, FOTOS	Aulas De Circo | Brava Escola De Circo – Reverso Filmes				https://reversofilmes.pixieset.com/bravafotosredessociais/		
260124_Sympla_SauloSomESol_BloquinhoDaLagoa_AftermovieMobile_ReversoFilmes_T.mp4	SAULO, SOM E SOL - BLOQUINHO DA LAGOA	SYMPLA	FESTIVAIS & EVENTOS, MOBILE	Saulo, Som E Sol - Bloquinho Da Lagoa | Sympla – Reverso Filmes	Vídeo aftermovie mobile produzido para Sympla, em janeiro de 2026.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtube.com/shorts/7wfwLIC9dV0				
260124_NaSala_NaSalaDeVerão_LimoncelloEdition_Aftermovie_ReversoFilmes_v2_T.mp4	NASALA DE VERÃO 2026 - LIMONCELLO EDITION	NASALA	FESTIVAIS & EVENTOS	NaSala De Verão 2026 - Limoncello Edition | NaSala – Reverso Filmes	Vídeo aftermovie produzido para NaSala, em janeiro de 2026.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtube.com/shorts/ZNxxpLgsl_4				
260123_GERA_EcosystemInMotion_Video2_ReversoFilmes_SemLegenda_V2.mp4	ECOSSYSTEM IN MOTION	GERA	INSTITUCIONAL, ⁠⁠ANIMAÇÃO & MOTION GRAPHICS	Ecossystem In Motion | GERA – Reverso Filmes	Vídeo aftermovie produzido para Gera, em janeiro de 2026.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtu.be/EVjuJDQyjLs				
260123_EurovilleBMW_PacoteMensalJaneiro_Captação2_MINI_VinhetaEuroville_ReversoFilmes_V2_T.mp4	MINI COOPER S	EUROVILLE BMW	PUBLICITÁRIO	Mini Cooper S | Euroville Bmw – Reverso Filmes	Vídeo publicitário produzido para Euroville Bmw, em janeiro de 2026.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtube.com/shorts/eXek0WXzLwc				
260117_NaSala_NaSalaDeVerao_AftemovieAperolSpritz_ReversoFilmes_v3_T.mp4	NASALA DE VERÃO 2026 - APEROL SPRITZ EDITION	NASALA	FESTIVAIS & EVENTOS	NaSala De Verão 2026 - Aperol Spritz Edition | NaSala – Reverso Filmes	Vídeo aftermovie produzido para NaSala, em janeiro de 2026.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtube.com/shorts/qXv4GkChcEY				
260117_GetHome_MotionVideo_ReversoFilmes_vFinal_T.mp4	MOTION VIDEO	GET HOME	INSTITUCIONAL, ⁠⁠ANIMAÇÃO & MOTION GRAPHICS	Motion Video | Get Home – Reverso Filmes	Vídeo aftermovie produzido para Get Home, em janeiro de 2026.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtu.be/20HMIRJw5Ns				
260117_Tropicals_AftermovieMobile_ReversoFilmes_T.mp4	TROPICALS BELO HORIZONTE	TROPICALS	FESTIVAIS & EVENTOS, MOBILE	Tropicals Belo Horizonte | Tropicals – Reverso Filmes	Vídeo aftermovie mobile produzido para Tropicals, em janeiro de 2026.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtube.com/shorts/1J-V_FJWpRY				
260113_EurovilleBMW_PacoteMensalJaneiro_Captação1_BMWi4M50_VinhetaEuroville_ReversoFilmes_T.mp4	BMW I4M50	EUROVILLE BMW	PUBLICITÁRIO	Bmw I4M50 | Euroville Bmw – Reverso Filmes	Vídeo publicitário produzido para Euroville Bmw, em janeiro de 2026.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtube.com/shorts/CEIseY4ZMBg				
260102_AldeiaTibá_Vivência_ReversoFilmes	VIVÊNCIA PATAXO	ALDEIA TIBÁ	ARTE & CULTURA, FOTOS	Vivência Pataxo | Aldeia Tibá – Reverso Filmes				https://reversofilmes.pixieset.com/aldeiatibavivencia/		
251227_ViradaDasFalésias_ReversoFilmes	REVEILLON 25/26	VIRADA DAS FALÉSIAS	FESTIVAIS & EVENTOS, FOTOS	Reveillon 25/26 | Virada Das Falésias – Reverso Filmes				https://reversofilmes.pixieset.com/viradadasfalesias2025cumuruxatiba/		
251218_Twig_Institucional_ReversoFilmes_vFinal_SemLegenda_T.mp4	INSTITUCIONAL TWIG 2025	TWIG NETWORK	INSTITUCIONAL, ⁠⁠ANIMAÇÃO & MOTION GRAPHICS	Institucional Twig 2025 | Twig Network – Reverso Filmes	Vídeo institucional produzido para Twig Network, em dezembro de 2025.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtu.be/UG-bi4JmOJE				
251207_Rene_50Anos_AftermovieShorts_ReversoFilmes_T.mp4	ANIVERSÁRIO 50 ANOS	RENE	FESTIVAIS & EVENTOS	Aniversário 50 Anos | Rene – Reverso Filmes	Vídeo aftermovie produzido para Rene, em dezembro de 2025.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtu.be/-gbeZR_zv1Y				
251112_EurovilleBMW_RogerioFlausino_ReversoFilmes_V4_T.mp4	BMW IX2 & ROGÉRIO FLAUSINO	EUROVILLE BMW	PUBLICITÁRIO	BMW IX2 & Rogério Flausino | Euroville BMW – Reverso Filmes	Vídeo publicitário produzido para Euroville Bmw, em novembro de 2025.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtube.com/shorts/vXkAF06XAEw				
251008_Datamed_Institucional35Anos_ReversoFilmes_vFinal_s-legenda.mp4	INSTITUCIONAL 35 ANOS - HERNELIO TEIXEIRA	DATAMED	INSTITUCIONAL, ⁠⁠ANIMAÇÃO & MOTION GRAPHICS	Institucional 35 Anos - Hernelio Teixeira | Datamed – Reverso Filmes	Vídeo institucional produzido para Datamed, em outubro de 2025.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtu.be/PkaZcPp9vIQ				
250910_SELPE_VídeoInstitucional60Anos_ReversoFilmes_v5_Final.mp4	VÍDEO INSTITUCIONAL 60 ANOS	SELPE	INSTITUCIONAL, ⁠⁠ANIMAÇÃO & MOTION GRAPHICS	Vídeo Institucional 60 Anos | Selpe – Reverso Filmes	Vídeo aftermovie produzido para Selpe, em setembro de 2025.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtu.be/YvW-yowoT08				
250820_Supermix_VídeoInstitucional50Anos_ReversoFilmes_Horizontal_SemLegenda_T.mp4	INSTITUCIONAL 50 ANOS	SUPERMIX	INSTITUCIONAL, ⁠⁠ANIMAÇÃO & MOTION GRAPHICS	Institucional 50 Anos | Supermix – Reverso Filmes	Vídeo aftermovie produzido para Supermix, em agosto de 2025.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtu.be/6WmbLyb_gkE				
250111_FazendaÍndio_ReversoFilmes_vFinal4_T.mp4	FAZENDA SAPÉ	AFONSO E MARIA	INSTITUCIONAL, FOTOS	Fazenda Sapé | Afonso E Maria – Reverso Filmes	Vídeo aftermovie produzido para Afonso E Maria, em janeiro de 2025.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtu.be/nl-eZAyz4WU		https://reversofilmes.pixieset.com/fazendasape/		